Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","50","Cyprus","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","167","Czechia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","t","2303451.5","E","Estimated value"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","27","Rice","t","692558.55","E","Estimated value"
"QCL","Crops and livestock products","54","Denmark","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","27","Rice","t","758116.19","E","Estimated value"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","27","Rice","t","1319341.83","E","Estimated value"
"QCL","Crops and livestock products","59","Egypt","5510","Production","27","Rice","t","5427529.41","E","Estimated value"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","27","Rice","t","36253.11","E","Estimated value"
"QCL","Crops and livestock products","63","Estonia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","27","Rice","t","643.93","E","Estimated value"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","27","Rice","t","74423.1","E","Estimated value"
"QCL","Crops and livestock products","66","Fiji","5510","Production","27","Rice","t","11518.42","E","Estimated value"
"QCL","Crops and livestock products","67","Finland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","68","France","5510","Production","27","Rice","t","102244.12","E","Estimated value"
"QCL","Crops and livestock products","69","French Guiana","5510","Production","27","Rice","t","24066.54","E","Estimated value"
"QCL","Crops and livestock products","74","Gabon","5510","Production","27","Rice","t","1321.89","E","Estimated value"
"QCL","Crops and livestock products","75","Gambia","5510","Production","27","Rice","t","37737.59","E","Estimated value"
"QCL","Crops and livestock products","79","Germany","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","81","Ghana","5510","Production","27","Rice","t","470161.74","E","Estimated value"
"QCL","Crops and livestock products","84","Greece","5510","Production","27","Rice","t","209345.57","E","Estimated value"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","27","Rice","t","28935.6","E","Estimated value"
"QCL","Crops and livestock products","90","Guinea","5510","Production","27","Rice","t","1601204.55","E","Estimated value"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","27","Rice","t","145395.83","E","Estimated value"
"QCL","Crops and livestock products","91","Guyana","5510","Production","27","Rice","t","664990.83","E","Estimated value"
"QCL","Crops and livestock products","93","Haiti","5510","Production","27","Rice","t","133890.31","E","Estimated value"
"QCL","Crops and livestock products","95","Honduras","5510","Production","27","Rice","t","41798.43","E","Estimated value"
"QCL","Crops and livestock products","97","Hungary","5510","Production","27","Rice","t","9907.55","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","27","Rice","t","147710435.21","E","Estimated value"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","27","Rice","t","54525756.02","E","Estimated value"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","27","Rice","t","2328236.02","E","Estimated value"
"QCL","Crops and livestock products","103","Iraq","5510","Production","27","Rice","t","262446.03","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","27","Rice","t","1442993.17","E","Estimated value"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","27","Rice","t","63.01","E","Estimated value"
"QCL","Crops and livestock products","110","Japan","5510","Production","27","Rice","t","11246032.76","E","Estimated value"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","27","Rice","t","333180.43","E","Estimated value"
"QCL","Crops and livestock products","114","Kenya","5510","Production","27","Rice","t","84561.55","E","Estimated value"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","27","Rice","t","23489.69","E","Estimated value"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","27","Rice","t","2855872.09","E","Estimated value"
"QCL","Crops and livestock products","119","Latvia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","123","Liberia","5510","Production","27","Rice","t","214402.07","E","Estimated value"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","27","Rice","t","3477604.72","E","Estimated value"
"QCL","Crops and livestock products","130","Malawi","5510","Production","27","Rice","t","99627.57","E","Estimated value"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","27","Rice","t","2364969.2","E","Estimated value"
"QCL","Crops and livestock products","133","Mali","5510","Production","27","Rice","t","1575297.71","E","Estimated value"
"QCL","Crops and livestock products","134","Malta","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","136","Mauritania","5510","Production","27","Rice","t","157800.83","E","Estimated value"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","27","Rice","t","144.41","E","Estimated value"
"QCL","Crops and livestock products","138","Mexico","5510","Production","27","Rice","t","285832.17","E","Estimated value"
"QCL","Crops and livestock products","145","Micronesia (Federated States of)","5510","Production","27","Rice","t","128.86","E","Estimated value"
"QCL","Crops and livestock products","143","Morocco","5510","Production","27","Rice","t","42473.32","E","Estimated value"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","27","Rice","t","229785.28","E","Estimated value"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","t","25163677.24","E","Estimated value"
"QCL","Crops and livestock products","149","Nepal","5510","Production","27","Rice","t","4501615.24","E","Estimated value"
"QCL","Crops and livestock products","150","Netherlands (Kingdom of the)","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","156","New Zealand","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","27","Rice","t","342339.96","E","Estimated value"
"QCL","Crops and livestock products","158","Niger","5510","Production","27","Rice","t","82442.69","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","27","Rice","t","5210312.45","E","Estimated value"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","27","Rice","t","18939.24","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","27","Rice","t","8822975.09","E","Estimated value"
"QCL","Crops and livestock products","166","Panama","5510","Production","27","Rice","t","296267.69","E","Estimated value"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","27","Rice","t","786.13","E","Estimated value"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","27","Rice","t","419258.41","E","Estimated value"
"QCL","Crops and livestock products","170","Peru","5510","Production","27","Rice","t","2505306.22","E","Estimated value"
"QCL","Crops and livestock products","171","Philippines","5510","Production","27","Rice","t","15506140.59","E","Estimated value"
"QCL","Crops and livestock products","173","Poland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","174","Portugal","5510","Production","27","Rice","t","158542.14","E","Estimated value"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","27","Rice","t","50.07","E","Estimated value"
"QCL","Crops and livestock products","117","Republic of Korea","5510","Production","27","Rice","t","6112966.86","E","Estimated value"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","182","Réunion","5510","Production","27","Rice","t","123.85","E","Estimated value"
"QCL","Crops and livestock products","183","Romania","5510","Production","27","Rice","t","28535.9","E","Estimated value"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","27","Rice","t","767413.95","E","Estimated value"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","27","Rice","t","64022.69","E","Estimated value"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","194","Saudi Arabia","5510","Production","27","Rice","t","98.14","E","Estimated value"
"QCL","Crops and livestock products","195","Senegal","5510","Production","27","Rice","t","536629.27","E","Estimated value"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","27","Rice","t","782685.59","E","Estimated value"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","25","Solomon Islands","5510","Production","27","Rice","t","2674.97","E","Estimated value"
"QCL","Crops and livestock products","201","Somalia","5510","Production","27","Rice","t","5365.55","E","Estimated value"
"QCL","Crops and livestock products","202","South Africa","5510","Production","27","Rice","t","3072.37","E","Estimated value"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","27","Rice","t","15357.91","E","Estimated value"
"QCL","Crops and livestock products","203","Spain","5510","Production","27","Rice","t","768615.62","E","Estimated value"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","27","Rice","t","3467387.62","E","Estimated value"
"QCL","Crops and livestock products","276","Sudan","5510","Production","27","Rice","t","41272.73","E","Estimated value"
"QCL","Crops and livestock products","206","Sudan (former)","5510","Production","27","Rice","t","14913.78","E","Estimated value"
"QCL","Crops and livestock products","207","Suriname","5510","Production","27","Rice","t","222428.96","E","Estimated value"
"QCL","Crops and livestock products","210","Sweden","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","27","Rice","t","15.45","E","Estimated value"
"QCL","Crops and livestock products","208","Tajikistan","5510","Production","27","Rice","t","67058.14","E","Estimated value"
"QCL","Crops and livestock products","216","Thailand","5510","Production","27","Rice","t","29980867.72","E","Estimated value"
"QCL","Crops and livestock products","176","Timor-Leste","5510","Production","27","Rice","t","64148.35","E","Estimated value"
"QCL","Crops and livestock products","217","Togo","5510","Production","27","Rice","t","109809.79","E","Estimated value"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","27","Rice","t","3821.7","E","Estimated value"
"QCL","Crops and livestock products","223","Türkiye","5510","Production","27","Rice","t","655838.79","E","Estimated value"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","27","Rice","t","74382.88","E","Estimated value"
"QCL","Crops and livestock products","226","Uganda","5510","Production","27","Rice","t","203479.45","E","Estimated value"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","27","Rice","t","85436.41","E","Estimated value"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","27","Rice","t","1866404.17","E","Estimated value"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice","t","9116783.45","E","Estimated value"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","27","Rice","t","1194620.62","E","Estimated value"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","27","Rice","t","293876.28","E","Estimated value"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","27","Rice","t","815216.81","E","Estimated value"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","t","37285356.87","E","Estimated value"
"QCL","Crops and livestock products","251","Zambia","5510","Production","27","Rice","t","27892.43","E","Estimated value"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","27","Rice","t","942.42","E","Estimated value"
